,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,date
0,Punta Arenas,-53.15,-70.92,284.15,66,75,11.3,1609698724
1,Kapaa,22.08,-159.32,297.15,78,1,7.7,1609698953
2,Severomuysk,56.15,113.43,243.63,88,100,1.2,1609698954
3,Waddān,29.16,16.14,290.74,46,100,3.29,1609698954
4,Dikson,73.51,80.55,254.97,87,55,5.28,1609699418
5,Mumford,5.26,-0.76,300.04,82,0,5.2,1609699418
6,Hithadhoo,-0.6,73.08,301.43,77,100,4.34,1609699418
7,Faya,18.39,42.45,288.15,82,0,2.6,1609699418
8,Butaritari,3.07,172.79,300.76,80,1,9.07,1609699418
9,Yerbogachën,61.28,108.01,245.04,87,100,2.64,1609698954
10,Cape Town,-33.93,18.42,297.15,64,0,8.2,1609698954
11,Touba,8.28,-7.68,302.93,31,27,1.34,1609698954
12,Jamestown,42.1,-79.24,275.37,97,90,3.1,1609698954
